                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3352,                0.58596,                0.95979,                0.97715,                0.96151,                0.97513,                0.63856,                 1.2176,                0.50574,                0.92157,              0.0011024,              0.0011024,              0.0011024
                     36,                 1.3416,                0.57921,                0.95706,                0.97491,                0.96303,                0.97421,                0.64159,                 1.2001,                0.49805,                0.91778,               0.001076,               0.001076,               0.001076
                     37,                 1.3381,                0.58035,                0.96169,                0.97525,                0.96346,                0.97558,                0.63548,                 1.2354,                 0.5037,                0.92403,              0.0010496,              0.0010496,              0.0010496
                     38,                 1.3109,                0.56931,                0.95435,                0.97566,                0.96213,                0.97517,                0.65511,                 1.1838,                0.48376,                0.91142,              0.0010232,              0.0010232,              0.0010232
                     39,                 1.3008,                0.56038,                0.94972,                0.97571,                0.96403,                0.97482,                0.65503,                 1.1763,                0.48677,                0.91093,              0.0009968,              0.0009968,              0.0009968
                     40,                 1.3205,                0.56415,                0.95852,                0.97583,                0.96195,                0.97316,                0.66055,                 1.1604,                0.48321,                0.90867,              0.0009704,              0.0009704,              0.0009704
                     41,                 1.2972,                0.56691,                0.94873,                0.97722,                0.96449,                0.97759,                0.66876,                 1.1397,                0.47996,                0.90329,               0.000944,               0.000944,               0.000944
                     42,                 1.2672,                0.55073,                0.94191,                0.97889,                0.96497,                0.97557,                0.66362,                  1.147,                0.47459,                0.90412,              0.0009176,              0.0009176,              0.0009176
                     43,                 1.2712,                0.55516,                0.93894,                0.97813,                0.96683,                0.97757,                0.67245,                 1.1336,                0.47051,                0.90067,              0.0008912,              0.0008912,              0.0008912
                     44,                 1.2448,                0.53753,                0.93684,                0.97965,                0.96843,                0.97807,                0.68005,                 1.1105,                0.46399,                0.89656,              0.0008648,              0.0008648,              0.0008648
                     45,                 1.2589,                0.54362,                0.94645,                0.98161,                0.96958,                0.97826,                0.68099,                 1.1056,                0.46318,                 0.8949,              0.0008384,              0.0008384,              0.0008384
                     46,                 1.2419,                0.53842,                0.93229,                0.98175,                0.96454,                0.97895,                0.68433,                 1.0975,                 0.4569,                 0.8925,               0.000812,               0.000812,               0.000812
                     47,                 1.2353,                0.53482,                0.93732,                0.98072,                0.96792,                0.97832,                0.68552,                  1.095,                0.45833,                0.89258,              0.0007856,              0.0007856,              0.0007856
                     48,                 1.2026,                0.52497,                0.92599,                0.97964,                0.96767,                0.97981,                0.69097,                 1.0905,                0.45005,                0.88918,              0.0007592,              0.0007592,              0.0007592
                     49,                 1.2242,                0.53009,                0.93484,                0.98033,                0.96974,                0.97892,                0.68879,                 1.0925,                0.45452,                0.89046,              0.0007328,              0.0007328,              0.0007328
                     50,                 1.1997,                 0.5229,                0.92005,                0.98352,                0.97103,                0.98067,                0.69581,                 1.0694,                0.44364,                 0.8849,              0.0007064,              0.0007064,              0.0007064
                     51,                 1.1939,                 0.5229,                 0.9202,                0.98247,                0.96921,                0.97987,                0.69786,                 1.0647,                0.44355,                0.88352,                0.00068,                0.00068,                0.00068
                     52,                 1.2064,                0.52432,                0.93236,                0.98189,                0.97124,                 0.9801,                0.70099,                 1.0537,                0.44075,                0.88097,              0.0006536,              0.0006536,              0.0006536
                     53,                 1.1729,                0.51447,                0.91624,                0.98505,                0.96887,                0.97976,                0.70362,                 1.0431,                0.43887,                0.88021,              0.0006272,              0.0006272,              0.0006272
                     54,                 1.1827,                0.51576,                0.92395,                0.98378,                0.97013,                0.98049,                0.70781,                 1.0329,                0.43449,                0.87676,              0.0006008,              0.0006008,              0.0006008
                     55,                 1.1717,                0.50522,                0.91558,                 0.9838,                0.97142,                0.98138,                0.71511,                 1.0183,                0.42606,                0.87469,              0.0005744,              0.0005744,              0.0005744
                     56,                 1.1539,                0.50227,                0.90991,                0.98163,                0.97059,                 0.9797,                0.71124,                 1.0171,                0.42858,                0.87316,               0.000548,               0.000548,               0.000548
                     57,                 1.1584,                0.50814,                 0.9155,                0.98337,                0.97168,                0.98142,                0.72179,                 1.0019,                0.41956,                  0.872,              0.0005216,              0.0005216,              0.0005216
                     58,                  1.142,                0.50366,                0.90949,                0.98387,                0.96822,                0.98043,                0.72198,                0.98663,                0.41623,                0.86794,              0.0004952,              0.0004952,              0.0004952
                     59,                 1.1108,                0.48639,                0.90453,                0.98451,                0.97081,                0.98153,                 0.7263,                0.98397,                0.41399,                0.86738,              0.0004688,              0.0004688,              0.0004688
                     60,                 1.1188,                0.48855,                0.90351,                0.98379,                0.97254,                0.98194,                0.73083,                0.97475,                0.41064,                0.86559,              0.0004424,              0.0004424,              0.0004424
                     61,                 1.1285,                0.49055,                0.90848,                0.98469,                0.97331,                0.98215,                0.73066,                 0.9623,                0.40797,                0.86362,               0.000416,               0.000416,               0.000416
                     62,                  1.107,                0.48492,                0.90525,                0.98538,                0.97276,                0.98226,                0.73589,                0.95534,                0.40572,                0.86232,              0.0003896,              0.0003896,              0.0003896
                     63,                 1.0946,                 0.4795,                0.89921,                0.98339,                0.97298,                0.98262,                0.74086,                 0.9493,                0.40254,                0.86068,              0.0003632,              0.0003632,              0.0003632
                     64,                 1.0912,                0.47715,                0.90044,                0.98509,                0.97168,                0.98258,                 0.7416,                0.93951,                 0.4004,                0.85905,              0.0003368,              0.0003368,              0.0003368
                     65,                 1.0731,                0.44848,                0.91268,                0.98398,                0.96973,                0.98136,                0.72799,                0.97988,                0.41186,                0.86496,              0.0003104,              0.0003104,              0.0003104
                     66,                 1.0395,                0.43612,                0.90667,                0.98593,                0.97189,                0.98208,                 0.7332,                0.95814,                 0.4059,                0.86111,               0.000284,               0.000284,               0.000284
                     67,                   1.02,                0.42522,                0.89462,                0.98535,                0.97457,                0.98215,                0.73488,                0.95243,                 0.4047,                0.85939,              0.0002576,              0.0002576,              0.0002576
                     68,                 1.0226,                0.42992,                0.89856,                0.98532,                0.97362,                0.98288,                0.73997,                0.94653,                0.40136,                0.85881,              0.0002312,              0.0002312,              0.0002312
                     69,                 1.0043,                0.42308,                0.89468,                0.98625,                0.97297,                0.98335,                0.74435,                0.93454,                0.39902,                0.85661,              0.0002048,              0.0002048,              0.0002048
                     70,                 1.0051,                0.42236,                0.89327,                0.98511,                0.97276,                0.98267,                0.74712,                0.92496,                0.39426,                0.85485,              0.0001784,              0.0001784,              0.0001784
                     71,                0.99804,                0.41914,                0.89252,                0.98605,                0.97427,                0.98349,                0.75015,                0.91864,                0.39155,                0.85453,               0.000152,               0.000152,               0.000152
                     72,                0.98922,                 0.4156,                0.88748,                 0.9847,                0.97429,                0.98356,                0.75187,                0.91682,                0.39127,                0.85352,              0.0001256,              0.0001256,              0.0001256
                     73,                0.97397,                0.41008,                0.89182,                0.98557,                 0.9747,                0.98384,                0.75366,                0.90762,                0.38871,                0.85221,               9.92e-05,               9.92e-05,               9.92e-05
                     74,                 0.9661,                0.40964,                0.88411,                0.98575,                0.97535,                0.98383,                0.75524,                0.90241,                0.38593,                0.85124,               7.28e-05,               7.28e-05,               7.28e-05
